"row_index","batch","cell_type","cell_observed_mixing_score"
156,"P56_batch2","PT_out",0.166666666666667
157,"P56_batch2","DCT",0.666666666666667
158,"P56_batch2","PT2",0.633333333333333
159,"P56_batch2","PT",0.533333333333333
160,"P56_batch2","NP_LOH",0.566666666666667
161,"P56_batch2","LOH",0.633333333333333
162,"P56_batch2","PT2",0.4
163,"P56_batch2","Endo",0.7
164,"P56_batch2","IC",0.733333333333333
165,"P56_batch2","PT2",0.166666666666667
166,"P56_batch2","stroma2",0.4
167,"P56_batch2","Endo",0.6
168,"P56_batch2","PT",0.333333333333333
169,"P56_batch2","LOH",0.433333333333333
170,"P56_batch2","Endo",0.766666666666667
171,"P56_batch2","LOH",0.566666666666667
172,"P56_batch2","DCT",0.366666666666667
173,"P56_batch2","PT",0.433333333333333
174,"P56_batch2","PC",0.4
175,"P56_batch2","PC",0.8
176,"P56_batch2","LOH",0.233333333333333
177,"P56_batch2","LOH",0.5
178,"P56_batch2","PT2",0.266666666666667
179,"P56_batch2","PT2",0.666666666666667
180,"P56_batch2","PT",0.3
181,"P56_batch2","PT2",0.3
182,"P56_batch2","PT",0.5
183,"P56_batch2","PT",0.5
184,"P56_batch2","PT",0.6
185,"P56_batch2","stroma1",0.566666666666667
186,"P56_batch2","PC",0.566666666666667
187,"P56_batch2","PT",0.533333333333333
188,"P56_batch2","PT",0.4
189,"P56_batch2","DCT",0.5
190,"P56_batch2","stroma1",0.266666666666667
191,"P56_batch2","PT",0.366666666666667
192,"P56_batch2","PT",0.7
193,"P56_batch2","PT",0.266666666666667
194,"P56_batch2","PT",0.433333333333333
195,"P56_batch2","PT",0.433333333333333
196,"P56_batch2","stroma2",0.533333333333333
197,"P56_batch2","PT",0.466666666666667
198,"P56_batch2","LOH",0.333333333333333
199,"P56_batch2","LOH",0.5
200,"P56_batch2","PT",0.433333333333333
201,"P56_batch2","LOH",0.166666666666667
202,"P56_batch2","Endo",0.566666666666667
203,"P56_batch2","PT",0.566666666666667
204,"P56_batch2","PT",0.466666666666667
205,"P56_batch2","PT",0.633333333333333
206,"P56_batch2","PT2",0.366666666666667
207,"P56_batch2","LOH",0.533333333333333
208,"P56_batch2","PT",0.333333333333333
209,"P56_batch2","stroma2",0.7
210,"P56_batch2","PT",0.466666666666667
211,"P56_batch2","PT",0.4
212,"P56_batch2","immune",0.633333333333333
213,"P56_batch2","DCT",0.5
214,"P56_batch2","LOH",0.5
215,"P56_batch2","DCT",0.5
216,"P56_batch2","LOH",0.733333333333333
217,"P56_batch2","PT",0.566666666666667
218,"P56_batch2","PT",0.7
219,"P56_batch2","PT_out",0.466666666666667
220,"P56_batch2","LOH",0.7
221,"P56_batch2","PT",0.4
222,"P56_batch2","stroma2",0.733333333333333
223,"P56_batch2","PT",0.6
224,"P56_batch2","DCT",0.5
225,"P56_batch2","Endo",0.5
226,"P56_batch2","PT",0.4
227,"P56_batch2","LOH",0.5
228,"P56_batch2","IC",0.4
229,"P56_batch2","PT",0.466666666666667
230,"P56_batch2","DCT",0.266666666666667
231,"P56_batch2","PT",0.666666666666667
232,"P56_batch2","PT",0.733333333333333
233,"P56_batch2","PT_out",0.5
234,"P56_batch2","PT",0.466666666666667
235,"P56_batch2","PT",0.533333333333333
236,"P56_batch2","PT",0.533333333333333
237,"P56_batch2","DCT",0.233333333333333
238,"P56_batch2","PT2",0.433333333333333
239,"P56_batch2","DCT",0.266666666666667
240,"P56_batch2","LOH",0.633333333333333
241,"P56_batch2","CNT",0.5
242,"P56_batch2","PT",0.266666666666667
243,"P56_batch2","PT",0.433333333333333
244,"P56_batch2","Endo",0.433333333333333
245,"P56_batch2","PT",0.433333333333333
246,"P56_batch2","LOH",0.5
247,"P56_batch2","PT",0.333333333333333
248,"P56_batch2","PT2",0.8
249,"P56_batch2","IC",0.4
250,"P56_batch2","PT",0.6
251,"P56_batch2","LOH",0.533333333333333
252,"P56_batch2","PC",0.9
253,"P56_batch2","stroma2",0.6
254,"P56_batch2","LOH",0.4
255,"P56_batch2","DCT",0.433333333333333
256,"P56_batch2","PT",0.766666666666667
257,"P56_batch2","PT2",0.466666666666667
258,"P56_batch2","LOH",0.5
259,"P56_batch2","PT",0.633333333333333
260,"P56_batch2","PT",0.533333333333333
261,"P56_batch2","PT",0.6
262,"P56_batch2","PC",0.233333333333333
263,"P56_batch2","stroma2",0.566666666666667
264,"P56_batch2","PT",0.733333333333333
265,"P56_batch2","IC",0.366666666666667
266,"P56_batch2","PT2",0.0666666666666667
267,"P56_batch2","PT",0.333333333333333
268,"P56_batch2","PT2",0.3
269,"P56_batch2","PT2",0.433333333333333
270,"P56_batch2","PT",0.433333333333333
271,"P56_batch2","PT",0.766666666666667
272,"P56_batch2","PT",0.433333333333333
273,"P56_batch2","PT",0.333333333333333
274,"P56_batch2","stroma2",0.633333333333333
275,"P56_batch2","stroma2",0.5
276,"P56_batch2","PT",0.4
277,"P56_batch2","LOH",0.633333333333333
278,"P56_batch2","LOH",0.433333333333333
279,"P56_batch2","stroma2",0.333333333333333
280,"P56_batch2","PT",0.4
281,"P56_batch2","PT",0.6
282,"P56_batch2","PT2",0.633333333333333
283,"P56_batch2","PT2",0.333333333333333
284,"P56_batch2","PT",0.5
285,"P56_batch2","PT",0.6
286,"P56_batch2","PT",0.533333333333333
287,"P56_batch2","PT",0.666666666666667
288,"P56_batch2","PT",0.566666666666667
289,"P56_batch2","LOH",0.5
290,"P56_batch2","PT2",0.2
291,"P56_batch2","PT",0.6
292,"P56_batch2","PT",0.733333333333333
293,"P56_batch2","PT",0.366666666666667
294,"P56_batch2","stroma2",0.466666666666667
295,"P56_batch2","PT",0.433333333333333
296,"P56_batch2","PC",0.333333333333333
297,"P56_batch2","PT",0.466666666666667
298,"P56_batch2","LOH",0.466666666666667
299,"P56_batch2","PT2",0.566666666666667
300,"P56_batch2","stroma2",0.466666666666667
301,"P56_batch2","PT2",0.133333333333333
302,"P56_batch2","PT",0.633333333333333
