"setting","batch_silhouette","normalized_batch_entropy","same_batch_fraction","batch_prediction_accuracy","cell_type_silhouette","same_celltype_fraction"
"GEO precomputed UMAP, P56 subset",0.00140824420355631,0.925691157479429,0.539679136477894,0.546821094135042,0.586919961295356,0.975383212578244
"P56 PACS 5000/5000 after",0.0266124732753856,0.69563795786925,0.696926906205333,0.589945786101528,0.159328174294953,0.665042633939573
"P56 PACS 10000/10000 after",0.0132831029291078,0.711105683636068,0.68100941396816,0.575406604238541,0.301977044782005,0.775917985115087
"P56 PACS 20000/10000 after",0.0139485453824,0.687844336084879,0.701567351766967,0.532035485460818,0.302566967153346,0.780292276603085
