"method","t1e","t1e_sd","power","power_sd","scenario","baseline_source"
"our",0.04008,0.00186735106501161,0.833373792947863,0.0226420496497505,1,"clean_room_reimplemented"
"seurat",0.0634241368986598,0.00171649066502101,0.823439044062103,0.0289670362228224,1,"clean_room_reimplemented"
"archR",0.0409636507859656,0.00326264328356833,0.674374673095622,0.0147412266658584,1,"clean_room_reimplemented"
"snapATAC",0.0181,0.00088881944173156,0.760940600584336,0.0120389080638744,1,"clean_room_reimplemented"
"fisher",0.02208,0.000810555365166377,0.766302569608083,0.0125701850668703,1,"clean_room_reimplemented"
