"row_index","batch","cell_type","cell_observed_mixing_score"
168,"P56_batch2","PT",0.0333333333333333
169,"P56_batch2","LOH",0.0333333333333333
170,"P56_batch2","Endo",0.133333333333333
171,"P56_batch2","LOH",0
172,"P56_batch2","DCT",0
173,"P56_batch2","PT",0.0333333333333333
174,"P56_batch2","PC",0.9
175,"P56_batch2","PC",0
176,"P56_batch2","LOH",0.133333333333333
177,"P56_batch2","LOH",0
178,"P56_batch2","PT2",0
179,"P56_batch2","PT2",0.0666666666666667
180,"P56_batch2","PT",0
181,"P56_batch2","PT2",0.0333333333333333
182,"P56_batch2","PT",0.633333333333333
183,"P56_batch2","PT",0.0666666666666667
184,"P56_batch2","PT",0.7
185,"P56_batch2","stroma1",0.0666666666666667
186,"P56_batch2","PC",0.1
187,"P56_batch2","PT",0.733333333333333
188,"P56_batch2","PT",0.5
189,"P56_batch2","DCT",0
190,"P56_batch2","stroma1",0.133333333333333
191,"P56_batch2","PT",0.2
192,"P56_batch2","PT",0.266666666666667
193,"P56_batch2","PT",0.0333333333333333
194,"P56_batch2","PT",0.166666666666667
195,"P56_batch2","PT",0.166666666666667
196,"P56_batch2","stroma2",0.566666666666667
197,"P56_batch2","PT",0.633333333333333
198,"P56_batch2","LOH",0.0333333333333333
199,"P56_batch2","LOH",0.1
200,"P56_batch2","PT",0.7
201,"P56_batch2","LOH",0.133333333333333
202,"P56_batch2","Endo",0.6
203,"P56_batch2","PT",0
204,"P56_batch2","PT",0.0666666666666667
205,"P56_batch2","PT",0.533333333333333
206,"P56_batch2","PT2",0.7
207,"P56_batch2","LOH",0.866666666666667
208,"P56_batch2","PT",0.2
209,"P56_batch2","stroma2",0.433333333333333
210,"P56_batch2","PT",0.0333333333333333
211,"P56_batch2","PT",0.5
212,"P56_batch2","immune",0.366666666666667
213,"P56_batch2","DCT",0.1
214,"P56_batch2","LOH",0
215,"P56_batch2","DCT",0.0333333333333333
216,"P56_batch2","LOH",0
217,"P56_batch2","PT",0
218,"P56_batch2","PT",0.866666666666667
219,"P56_batch2","PT_out",0.8
220,"P56_batch2","LOH",0.933333333333333
221,"P56_batch2","PT",0.0333333333333333
222,"P56_batch2","stroma2",0.366666666666667
223,"P56_batch2","PT",0.666666666666667
224,"P56_batch2","DCT",0
225,"P56_batch2","Endo",0.1
226,"P56_batch2","PT",0.266666666666667
227,"P56_batch2","LOH",0.8
228,"P56_batch2","IC",0.2
229,"P56_batch2","PT",0.5
230,"P56_batch2","DCT",0
231,"P56_batch2","PT",0.666666666666667
232,"P56_batch2","PT",0
233,"P56_batch2","PT_out",0.766666666666667
234,"P56_batch2","PT",0.0666666666666667
235,"P56_batch2","PT",0.233333333333333
236,"P56_batch2","PT",0.166666666666667
237,"P56_batch2","DCT",0
238,"P56_batch2","PT2",0
239,"P56_batch2","DCT",0.6
240,"P56_batch2","LOH",0.733333333333333
241,"P56_batch2","CNT",0
242,"P56_batch2","PT",0.1
243,"P56_batch2","PT",0.133333333333333
244,"P56_batch2","Endo",0.266666666666667
245,"P56_batch2","PT",0.2
246,"P56_batch2","LOH",0.133333333333333
247,"P56_batch2","PT",0.1
248,"P56_batch2","PT2",0
249,"P56_batch2","IC",0.933333333333333
250,"P56_batch2","PT",0.1
251,"P56_batch2","LOH",0
252,"P56_batch2","PC",0.0333333333333333
253,"P56_batch2","stroma2",0.266666666666667
254,"P56_batch2","LOH",0.166666666666667
255,"P56_batch2","DCT",0
256,"P56_batch2","PT",0
257,"P56_batch2","PT2",0.0666666666666667
258,"P56_batch2","LOH",0.666666666666667
259,"P56_batch2","PT",0.0666666666666667
260,"P56_batch2","PT",0.333333333333333
261,"P56_batch2","PT",0.0333333333333333
262,"P56_batch2","PC",0.0666666666666667
263,"P56_batch2","stroma2",0.566666666666667
264,"P56_batch2","PT",0.0666666666666667
265,"P56_batch2","IC",0.0333333333333333
266,"P56_batch2","PT2",0
267,"P56_batch2","PT",0.266666666666667
268,"P56_batch2","PT2",0.333333333333333
269,"P56_batch2","PT2",0
270,"P56_batch2","PT",0.4
271,"P56_batch2","PT",0.4
272,"P56_batch2","PT",0.366666666666667
273,"P56_batch2","PT",0.0333333333333333
274,"P56_batch2","stroma2",0.2
275,"P56_batch2","stroma2",0.0333333333333333
276,"P56_batch2","PT",0.2
277,"P56_batch2","LOH",0.5
278,"P56_batch2","LOH",0
279,"P56_batch2","stroma2",0.233333333333333
280,"P56_batch2","PT",0
281,"P56_batch2","PT",0.166666666666667
282,"P56_batch2","PT2",0
283,"P56_batch2","PT2",0
284,"P56_batch2","PT",0.833333333333333
285,"P56_batch2","PT",0.833333333333333
286,"P56_batch2","PT",0.733333333333333
287,"P56_batch2","PT",0.0333333333333333
288,"P56_batch2","PT",0.633333333333333
289,"P56_batch2","LOH",0.233333333333333
290,"P56_batch2","PT2",0
291,"P56_batch2","PT",0
292,"P56_batch2","PT",0.0666666666666667
293,"P56_batch2","PT",0.0333333333333333
294,"P56_batch2","stroma2",0.3
295,"P56_batch2","PT",0.1
296,"P56_batch2","PC",0.133333333333333
297,"P56_batch2","PT",0.666666666666667
298,"P56_batch2","LOH",0.0333333333333333
299,"P56_batch2","PT2",0
300,"P56_batch2","stroma2",0.6
301,"P56_batch2","PT2",0.3
302,"P56_batch2","PT",0
303,"P56_batch2","PT2",0
304,"P56_batch2","PT",0
305,"P56_batch2","LOH",0
306,"P56_batch2","PT",0.433333333333333
307,"P56_batch2","PT",0.0666666666666667
308,"P56_batch2","LOH",0.166666666666667
309,"P56_batch2","PT",0.133333333333333
310,"P56_batch2","PT",0.0333333333333333
311,"P56_batch2","PT",0
312,"P56_batch2","LOH",0
313,"P56_batch2","PC",0.1
314,"P56_batch2","PT2",0
315,"P56_batch2","PT",0.0666666666666667
316,"P56_batch2","PT",0
317,"P56_batch2","PT",0
318,"P56_batch2","PT",0.833333333333333
319,"P56_batch2","LOH",0.0666666666666667
320,"P56_batch2","CNT",0
321,"P56_batch2","CNT",0.3
322,"P56_batch2","stroma1",0.7
323,"P56_batch2","PT",0.266666666666667
324,"P56_batch2","PT_out",0.433333333333333
325,"P56_batch2","PT",0
326,"P56_batch2","PT2",0
327,"P56_batch2","LOH",0
328,"P56_batch2","LOH",0.0666666666666667
329,"P56_batch2","PT",0.0666666666666667
330,"P56_batch2","stroma2",0.133333333333333
331,"P56_batch2","LOH",0.133333333333333
332,"P56_batch2","LOH",0
333,"P56_batch2","PT",0
334,"P56_batch2","PC",0.0333333333333333
335,"P56_batch2","Endo",0.133333333333333
336,"P56_batch2","IC",0
337,"P56_batch2","PT",0.1
338,"P56_batch2","PT",0.233333333333333
339,"P56_batch2","immune",0.3
340,"P56_batch2","CNT",0
341,"P56_batch2","Endo",0.0666666666666667
342,"P56_batch2","LOH",0.0666666666666667
343,"P56_batch2","PT",0.1
344,"P56_batch2","DCT",0.9
345,"P56_batch2","DCT",0.5
346,"P56_batch2","PT",0
347,"P56_batch2","PT2",0.0333333333333333
348,"P56_batch2","PT",0.0333333333333333
349,"P56_batch2","LOH",0.0333333333333333
350,"P56_batch2","IC",0.133333333333333
351,"P56_batch2","stroma2",0.0333333333333333
352,"P56_batch2","PT",0.833333333333333
353,"P56_batch2","PT2",0
354,"P56_batch2","PT",0.0333333333333333
355,"P56_batch2","PT2",0
356,"P56_batch2","LOH",0.9
357,"P56_batch2","LOH",0.733333333333333
358,"P56_batch2","PT",0.766666666666667
