"setting","dim_label","coordinate_space_type","n_cells","k","n_batches","n_cell_types","observed_batch_mixing_score","expected_batch_mixing_score","normalized_batch_mixing_score","coordinate_columns_used"
"before","LSI_1:30","LSI-space",13526,30,2,15,0.0282295825324067,0.490206991403151,0.057587066336209,"LSI_1;LSI_2;LSI_3;LSI_4;LSI_5;LSI_6;LSI_7;LSI_8;LSI_9;LSI_10;LSI_11;LSI_12;LSI_13;LSI_14;LSI_15;LSI_16;LSI_17;LSI_18;LSI_19;LSI_20;LSI_21;LSI_22;LSI_23;LSI_24;LSI_25;LSI_26;LSI_27;LSI_28;LSI_29;LSI_30"
"after","LSI_1:30","LSI-space",13526,30,2,15,0.137382325397999,0.490206991403151,0.280253704674347,"LSI_1;LSI_2;LSI_3;LSI_4;LSI_5;LSI_6;LSI_7;LSI_8;LSI_9;LSI_10;LSI_11;LSI_12;LSI_13;LSI_14;LSI_15;LSI_16;LSI_17;LSI_18;LSI_19;LSI_20;LSI_21;LSI_22;LSI_23;LSI_24;LSI_25;LSI_26;LSI_27;LSI_28;LSI_29;LSI_30"
"before","LSI_2:30","LSI-space",13526,30,2,15,0.025494110108926,0.490206991403151,0.0520068268221809,"LSI_2;LSI_3;LSI_4;LSI_5;LSI_6;LSI_7;LSI_8;LSI_9;LSI_10;LSI_11;LSI_12;LSI_13;LSI_14;LSI_15;LSI_16;LSI_17;LSI_18;LSI_19;LSI_20;LSI_21;LSI_22;LSI_23;LSI_24;LSI_25;LSI_26;LSI_27;LSI_28;LSI_29;LSI_30"
"after","LSI_2:30","LSI-space",13526,30,2,15,0.163894228399625,0.490206991403151,0.334336782775171,"LSI_2;LSI_3;LSI_4;LSI_5;LSI_6;LSI_7;LSI_8;LSI_9;LSI_10;LSI_11;LSI_12;LSI_13;LSI_14;LSI_15;LSI_16;LSI_17;LSI_18;LSI_19;LSI_20;LSI_21;LSI_22;LSI_23;LSI_24;LSI_25;LSI_26;LSI_27;LSI_28;LSI_29;LSI_30"
"before","LSI_2:50","LSI-space",13526,30,2,15,0.0388511015821381,0.490206991403151,0.0792544828276155,"LSI_2;LSI_3;LSI_4;LSI_5;LSI_6;LSI_7;LSI_8;LSI_9;LSI_10;LSI_11;LSI_12;LSI_13;LSI_14;LSI_15;LSI_16;LSI_17;LSI_18;LSI_19;LSI_20;LSI_21;LSI_22;LSI_23;LSI_24;LSI_25;LSI_26;LSI_27;LSI_28;LSI_29;LSI_30;LSI_31;LSI_32;LSI_33;LSI_34;LSI_35;LSI_36;LSI_37;LSI_38;LSI_39;LSI_40;LSI_41;LSI_42;LSI_43;LSI_44;LSI_45;LSI_46;LSI_47;LSI_48;LSI_49;LSI_50"
"after","LSI_2:50","LSI-space",13526,30,2,15,0.182835526640051,0.490206991403151,0.372976170977711,"LSI_2;LSI_3;LSI_4;LSI_5;LSI_6;LSI_7;LSI_8;LSI_9;LSI_10;LSI_11;LSI_12;LSI_13;LSI_14;LSI_15;LSI_16;LSI_17;LSI_18;LSI_19;LSI_20;LSI_21;LSI_22;LSI_23;LSI_24;LSI_25;LSI_26;LSI_27;LSI_28;LSI_29;LSI_30;LSI_31;LSI_32;LSI_33;LSI_34;LSI_35;LSI_36;LSI_37;LSI_38;LSI_39;LSI_40;LSI_41;LSI_42;LSI_43;LSI_44;LSI_45;LSI_46;LSI_47;LSI_48;LSI_49;LSI_50"
"before","LSI_1:50","LSI-space",13526,30,2,15,0.0375400463305239,0.490206991403151,0.0765799896551263,"LSI_1;LSI_2;LSI_3;LSI_4;LSI_5;LSI_6;LSI_7;LSI_8;LSI_9;LSI_10;LSI_11;LSI_12;LSI_13;LSI_14;LSI_15;LSI_16;LSI_17;LSI_18;LSI_19;LSI_20;LSI_21;LSI_22;LSI_23;LSI_24;LSI_25;LSI_26;LSI_27;LSI_28;LSI_29;LSI_30;LSI_31;LSI_32;LSI_33;LSI_34;LSI_35;LSI_36;LSI_37;LSI_38;LSI_39;LSI_40;LSI_41;LSI_42;LSI_43;LSI_44;LSI_45;LSI_46;LSI_47;LSI_48;LSI_49;LSI_50"
"after","LSI_1:50","LSI-space",13526,30,2,15,0.151357878653458,0.490206991403151,0.308763198623945,"LSI_1;LSI_2;LSI_3;LSI_4;LSI_5;LSI_6;LSI_7;LSI_8;LSI_9;LSI_10;LSI_11;LSI_12;LSI_13;LSI_14;LSI_15;LSI_16;LSI_17;LSI_18;LSI_19;LSI_20;LSI_21;LSI_22;LSI_23;LSI_24;LSI_25;LSI_26;LSI_27;LSI_28;LSI_29;LSI_30;LSI_31;LSI_32;LSI_33;LSI_34;LSI_35;LSI_36;LSI_37;LSI_38;LSI_39;LSI_40;LSI_41;LSI_42;LSI_43;LSI_44;LSI_45;LSI_46;LSI_47;LSI_48;LSI_49;LSI_50"
