"setting","coordinate_space_type","pc_dims","n_cells","n_features","observed_batch_mixing_score","expected_batch_mixing_score","normalized_batch_mixing_score","k","coordinate_columns_used"
"before","PCA-logNorm",20,13526,10000,0.0194933215042634,0.490206991403151,0.0397654905909571,30,"PC_1;PC_2;PC_3;PC_4;PC_5;PC_6;PC_7;PC_8;PC_9;PC_10;PC_11;PC_12;PC_13;PC_14;PC_15;PC_16;PC_17;PC_18;PC_19;PC_20"
"after","PCA-logNorm",20,13526,3695,0.12627778599241,0.490206991403151,0.257600948593076,30,"PC_1;PC_2;PC_3;PC_4;PC_5;PC_6;PC_7;PC_8;PC_9;PC_10;PC_11;PC_12;PC_13;PC_14;PC_15;PC_16;PC_17;PC_18;PC_19;PC_20"
"before","PCA-logNorm",30,13526,10000,0.0250184829217803,0.490206991403151,0.0510365689607328,30,"PC_1;PC_2;PC_3;PC_4;PC_5;PC_6;PC_7;PC_8;PC_9;PC_10;PC_11;PC_12;PC_13;PC_14;PC_15;PC_16;PC_17;PC_18;PC_19;PC_20;PC_21;PC_22;PC_23;PC_24;PC_25;PC_26;PC_27;PC_28;PC_29;PC_30"
"after","PCA-logNorm",30,13526,3695,0.151828577061462,0.490206991403151,0.309723401999782,30,"PC_1;PC_2;PC_3;PC_4;PC_5;PC_6;PC_7;PC_8;PC_9;PC_10;PC_11;PC_12;PC_13;PC_14;PC_15;PC_16;PC_17;PC_18;PC_19;PC_20;PC_21;PC_22;PC_23;PC_24;PC_25;PC_26;PC_27;PC_28;PC_29;PC_30"
"before","PCA-logNorm",50,13526,10000,0.0335822366799744,0.490206991403151,0.0685062377096046,30,"PC_1;PC_2;PC_3;PC_4;PC_5;PC_6;PC_7;PC_8;PC_9;PC_10;PC_11;PC_12;PC_13;PC_14;PC_15;PC_16;PC_17;PC_18;PC_19;PC_20;PC_21;PC_22;PC_23;PC_24;PC_25;PC_26;PC_27;PC_28;PC_29;PC_30;PC_31;PC_32;PC_33;PC_34;PC_35;PC_36;PC_37;PC_38;PC_39;PC_40;PC_41;PC_42;PC_43;PC_44;PC_45;PC_46;PC_47;PC_48;PC_49;PC_50"
"after","PCA-logNorm",50,13526,3695,0.207797328601705,0.490206991403151,0.423897113353919,30,"PC_1;PC_2;PC_3;PC_4;PC_5;PC_6;PC_7;PC_8;PC_9;PC_10;PC_11;PC_12;PC_13;PC_14;PC_15;PC_16;PC_17;PC_18;PC_19;PC_20;PC_21;PC_22;PC_23;PC_24;PC_25;PC_26;PC_27;PC_28;PC_29;PC_30;PC_31;PC_32;PC_33;PC_34;PC_35;PC_36;PC_37;PC_38;PC_39;PC_40;PC_41;PC_42;PC_43;PC_44;PC_45;PC_46;PC_47;PC_48;PC_49;PC_50"
