"setting","n_top_peaks","tested_peaks","significant_batch_peaks","retained_peaks","fdr_cutoff","after_batch_silhouette","after_entropy","after_same_batch","after_batch_prediction_accuracy","after_celltype_silhouette","after_same_celltype"
"5000/5000/FDR0.05",5000,5000,3140,1860,0.05,0.0266124732753856,0.69563795786925,0.696926906205333,0.589945786101528,0.159328174294953,0.665042633939573
"10000/10000/FDR0.05",10000,10000,6305,3695,0.05,0.0132831029291078,0.711105683636068,0.68100941396816,0.575406604238541,0.301977044782005,0.775917985115087
"20000/10000/FDR0.05",20000,10000,6208,3792,0.05,0.0139485453824,0.687844336084879,0.701567351766967,0.532035485460818,0.302566967153346,0.780292276603085
